layer_id	latency	NoC_NR	L2_to_DRAM_NR	DRAM_to_L2_NR	
1	134911.99999999997	0.9942528735632183	6.461302681992336	2.667024265644955
2	225614.93333333332	0.9501488095238095	1.619047619047619	2.7978042328042325
3	65053.33333333333	1.120659722222222	1.6134259259259258	1.5689021164021164
4	245174.99999999997	3.040364583333333	0.8067129629629629	1.5688458994708994
5	151199.99999999997	3.7499999999999996	0.8095238095238095	3.334113756613757
6	309120.0	3.8333333333333335	0.4029629629629629	3.246865079365079
7	309120.0	3.8333333333333335	0.4029629629629629	3.246865079365079
8	185760.0	3.8392857142857144	0.40476190476190477	3.114043209876543
9	369600.0	3.819444444444444	0.20238095238095238	3.1950892857142854
10	369600.0	3.819444444444444	0.20238095238095238	3.1950892857142854
11	150551.99999999997	3.2142857142857144	0.20238095238095238	6.223214285714285
12	150551.99999999997	3.2142857142857144	0.20238095238095238	6.223214285714285
13	150443.19999999998	3.442460317460317	0.20238095238095238	6.21871693121693
