layer_id	latency	NoC_NR	L2_to_DRAM_NR	DRAM_to_L2_NR	
1	65053.33333333333	1.039186507936508	6.453703703703703	1.9408333333333332
2	105857.86666666664	0.9097222222222224	1.6134259259259258	2.625443121693121
3	32640.0	1.6026785714285716	1.619047619047619	1.2435185185185185
4	161400.0	4.002976190476191	0.8095238095238095	2.694140211640211
5	92160.0	3.67816091954023	0.807662835249042	3.058045977011494
6	194280.5333333333	3.2142857142857144	0.40476190476190477	4.015388007054673
7	178432.0	3.095238095238096	1.6123015873015871	3.1609977324263037
8	72506.13333333333	2.8968253968253967	0.40476190476190477	2.9971119929453263
9	145012.26666666666	2.8968253968253967	0.20238095238095238	2.9971119929453263
10	145012.26666666666	2.8968253968253967	0.20238095238095238	2.9971119929453263
11	75217.06666666667	5.347222222222221	0.20238095238095238	6.218342151675484
12	75217.06666666667	5.347222222222221	0.20238095238095238	6.218342151675484
13	75217.06666666667	4.593253968253968	0.20238095238095238	6.218342151675484
