layer_id	latency	NoC_NR	L2_to_DRAM_NR	DRAM_to_L2_NR	
1	84864.0	0.9809981684981686	6.476190476190476	3.4159137159137156
2	136562.1333333333	1.9118055555555555	1.6118518518518516	2.709566137566137
3	45977.066666666666	0.978422619047619	1.6212962962962962	1.6290060468631897
4	184660.0	3.5229700854700856	0.8088319088319088	2.0326312576312575
5	130215.46666666666	3.8888888888888884	0.8095238095238095	4.613643235071806
6	260430.93333333332	4.002976190476191	0.40476190476190477	4.613643235071806
7	260430.93333333332	4.002976190476191	0.40476190476190477	4.613643235071806
8	112980.0	4.002976190476191	0.40476190476190477	3.7748866213151926
9	345385.5999999999	4.002976190476191	0.20238095238095238	5.353819444444444
10	345385.5999999999	4.002976190476191	0.20238095238095238	5.353819444444444
11	129997.86666666665	3.412698412698413	1.6123015873015871	8.060383597883597
12	129997.86666666665	3.412698412698413	1.6123015873015871	8.060383597883597
13	129997.86666666665	5.3174603174603154	1.6123015873015871	8.060383597883597
