layer_id	latency	NoC_NR	L2_to_DRAM_NR	DRAM_to_L2_NR	
1	104085.33333333333	0.9027777777777781	6.453703703703703	1.9715277777777778
2	140889.95555555556	1.6845703125	1.6134259259259258	2.1839340828924163
3	52042.666666666664	0.6217447916666669	1.6134259259259258	1.1939539241622572
4	184940.0	2.8667534722222223	0.8067129629629629	1.3060598544973545
5	107736.17777777778	3.2142857142857144	0.8095238095238095	3.3400352733686067
6	205759.99999999997	3.1894841269841265	0.40476190476190477	2.993551587301587
7	205759.99999999997	3.1894841269841265	0.40476190476190477	2.993551587301587
8	184017.06666666665	4.545355902777778	0.40335648148148145	4.991782407407407
9	294424.8888888889	2.8968253968253967	0.20238095238095238	3.651102292768959
10	294424.8888888889	2.8968253968253967	0.20238095238095238	3.651102292768959
11	133724.26666666663	3.3209325396825395	0.20238095238095238	5.527623456790122
12	133724.26666666663	3.3209325396825395	0.20238095238095238	5.527623456790122
13	133724.26666666663	3.1894841269841265	0.20238095238095238	5.527623456790122
