layer_id	latency	NoC_NR	L2_to_DRAM_NR	DRAM_to_L2_NR	
1	37624.4	1.2905430029154517	1.185374149659864	1.7139395043731778
2	7679.466666666666	6.508620689655173	0.0	16.550574712643677
3	11580.0	2.8720238095238093	0.0	2.073280423280423
4	26112.0	3.90625	14.571428571428571	5.717261904761904
5	29756.799999999996	6.607142857142857	0.0	16.60535714285714
6	11229.066666666666	2.628968253968254	1.619047619047619	3.182842025699168
7	26112.0	3.90625	14.571428571428571	5.717261904761904
8	29756.799999999996	6.607142857142857	0.0	16.60535714285714
9	11229.066666666666	2.628968253968254	1.619047619047619	3.182842025699168
10	22848.0	3.6989795918367343	14.571428571428571	4.235544217687075
11	24643.2	2.7997448979591835	3.642857142857143	7.858163265306122
12	23516.666666666668	5.654761904761904	0.8095238095238095	5.832506613756614
13	11424.0	2.9783163265306123	7.285714285714286	4.818112244897959
14	16734.8	5.228794642857142	1.8214285714285714	9.338616071428572
15	12859.999999999998	3.1894841269841265	0.8095238095238095	2.9794973544973544
16	11424.0	2.9783163265306123	7.285714285714286	4.818112244897959
17	16734.8	5.228794642857142	1.8214285714285714	9.338616071428572
18	12859.999999999998	3.1894841269841265	0.8095238095238095	2.9794973544973544
19	11424.0	2.9783163265306123	7.285714285714286	4.818112244897959
20	16734.8	5.228794642857142	1.8214285714285714	9.338616071428572
21	12859.999999999998	3.1894841269841265	0.8095238095238095	2.9794973544973544
22	11424.0	2.9783163265306123	7.285714285714286	4.818112244897959
23	20447.6	3.2868303571428563	1.8214285714285714	5.705245535714285
24	30609.066666666666	5.749007936507936	0.0	7.591534391534391
25	10290.666666666666	3.322704081632653	3.642857142857143	6.562925170068027
26	20454.399999999998	6.339285714285715	0.0	11.414285714285713
27	20898.666666666664	3.328373015873016	0.0	5.183201058201058
28	10290.666666666666	3.322704081632653	3.642857142857143	6.562925170068027
29	20454.399999999998	6.339285714285715	0.0	11.414285714285713
30	20898.666666666664	3.328373015873016	0.0	5.183201058201058
31	10290.666666666666	3.322704081632653	3.642857142857143	6.562925170068027
32	20454.399999999998	6.339285714285715	0.0	11.414285714285713
33	20898.666666666664	3.328373015873016	0.0	5.183201058201058
34	10290.666666666666	3.322704081632653	3.642857142857143	6.562925170068027
35	20454.399999999998	6.339285714285715	0.0	11.414285714285713
36	20898.666666666664	3.328373015873016	0.0	5.183201058201058
37	10290.666666666666	3.322704081632653	3.642857142857143	6.562925170068027
38	20454.399999999998	6.339285714285715	0.0	11.414285714285713
39	20898.666666666664	3.328373015873016	0.0	5.183201058201058
40	10290.666666666666	3.322704081632653	3.642857142857143	6.562925170068027
41	27880.0	4.296875	0.9107142857142857	7.779017857142858
42	74255.99999999999	7.063492063492063	0.0	18.416666666666664
43	32966.4	6.372767857142858	1.8214285714285714	18.396428571428572
44	36221.333333333336	11.205357142857142	0.0	20.21279761904762
45	69468.79999999999	9.8015873015873	0.0	17.229365079365078
46	32966.4	6.372767857142858	1.8214285714285714	18.396428571428572
47	36221.333333333336	11.205357142857142	0.0	20.21279761904762
48	69468.79999999999	9.8015873015873	0.0	17.229365079365078
49	32966.4	6.372767857142858	1.8214285714285714	18.396428571428572
50	59656.399999999994	132.03125	0.0	466.06562499999995
