# layer_3 = {"H":7,"M":7,"C":64,"R":3, "stride":1, "padding":1,"K":64,"P":56,"Q":56}
* layer1 layer2 layer5 layer6 layer8 layer9 end
layer1 224 224 3 16 16 0 768 14 14 layer1 0-1
layer2 197 1 768 1 1 0 768 197 1 layer2*3 1-1
layer3 197 1 768 1 1 0 768 197 1 layer2*3 1-1
layer4 197 1 768 1 1 0 768 197 1 layer2*3 1-1
layer5 197 1 768 1 1 0 197 197 1 layer5 1-1
layer6 197 1 197 1 1 0 768 197 1 layer6 1-1
layer7 197 1 768 1 1 0 768 197 1 layer2 1-1
layer8 197 1 768 1 1 0 3072 197 1 layer8 1-1
layer9 197 1 3072 1 1 0 768 197 1 layer9 1-1
layer2 197 1 768 1 1 0 768 197 1 layer2*3 1-1
layer3 197 1 768 1 1 0 768 197 1 layer2*3 1-1
layer4 197 1 768 1 1 0 768 197 1 layer2*3 1-1
layer5 197 1 768 1 1 0 197 197 1 layer5 1-1
layer6 197 1 197 1 1 0 768 197 1 layer6 1-1
layer7 197 1 768 1 1 0 768 197 1 layer2 1-1
layer8 197 1 768 1 1 0 3072 197 1 layer8 1-1
layer9 197 1 3072 1 1 0 768 197 1 layer9 1-1
layer2 197 1 768 1 1 0 768 197 1 layer2*3 1-1
layer3 197 1 768 1 1 0 768 197 1 layer2*3 1-1
layer4 197 1 768 1 1 0 768 197 1 layer2*3 1-1
layer5 197 1 768 1 1 0 197 197 1 layer5 1-1
layer6 197 1 197 1 1 0 768 197 1 layer6 1-1
layer7 197 1 768 1 1 0 768 197 1 layer2 1-1
layer8 197 1 768 1 1 0 3072 197 1 layer8 1-1
layer9 197 1 3072 1 1 0 768 197 1 layer9 1-1
layer2 197 1 768 1 1 0 768 197 1 layer2*3 1-1
layer3 197 1 768 1 1 0 768 197 1 layer2*3 1-1
layer4 197 1 768 1 1 0 768 197 1 layer2*3 1-1
layer5 197 1 768 1 1 0 197 197 1 layer5 1-1
layer6 197 1 197 1 1 0 768 197 1 layer6 1-1
layer7 197 1 768 1 1 0 768 197 1 layer2 1-1
layer8 197 1 768 1 1 0 3072 197 1 layer8 1-1
layer9 197 1 3072 1 1 0 768 197 1 layer9 1-1
layer2 197 1 768 1 1 0 768 197 1 layer2*3 1-1
layer3 197 1 768 1 1 0 768 197 1 layer2*3 1-1
layer4 197 1 768 1 1 0 768 197 1 layer2*3 1-1
layer5 197 1 768 1 1 0 197 197 1 layer5 1-1
layer6 197 1 197 1 1 0 768 197 1 layer6 1-1
layer7 197 1 768 1 1 0 768 197 1 layer2 1-1
layer8 197 1 768 1 1 0 3072 197 1 layer8 1-1
layer9 197 1 3072 1 1 0 768 197 1 layer9 1-1
layer2 197 1 768 1 1 0 768 197 1 layer2*3 1-1
layer3 197 1 768 1 1 0 768 197 1 layer2*3 1-1
layer4 197 1 768 1 1 0 768 197 1 layer2*3 1-1
layer5 197 1 768 1 1 0 197 197 1 layer5 1-1
layer6 197 1 197 1 1 0 768 197 1 layer6 1-1
layer7 197 1 768 1 1 0 768 197 1 layer2 1-1
layer8 197 1 768 1 1 0 3072 197 1 layer8 1-1
layer9 197 1 3072 1 1 0 768 197 1 layer9 1-1
layer2 197 1 768 1 1 0 768 197 1 layer2*3 1-1
layer3 197 1 768 1 1 0 768 197 1 layer2*3 1-1
layer4 197 1 768 1 1 0 768 197 1 layer2*3 1-1
layer5 197 1 768 1 1 0 197 197 1 layer5 1-1
layer6 197 1 197 1 1 0 768 197 1 layer6 1-1
layer7 197 1 768 1 1 0 768 197 1 layer2 1-1
layer8 197 1 768 1 1 0 3072 197 1 layer8 1-1
layer9 197 1 3072 1 1 0 768 197 1 layer9 1-1
layer2 197 1 768 1 1 0 768 197 1 layer2*3 1-1
layer3 197 1 768 1 1 0 768 197 1 layer2*3 1-1
layer4 197 1 768 1 1 0 768 197 1 layer2*3 1-1
layer5 197 1 768 1 1 0 197 197 1 layer5 1-1
layer6 197 1 197 1 1 0 768 197 1 layer6 1-1
layer7 197 1 768 1 1 0 768 197 1 layer2 1-1
layer8 197 1 768 1 1 0 3072 197 1 layer8 1-1
layer9 197 1 3072 1 1 0 768 197 1 layer9 1-1
layer2 197 1 768 1 1 0 768 197 1 layer2*3 1-1
layer3 197 1 768 1 1 0 768 197 1 layer2*3 1-1
layer4 197 1 768 1 1 0 768 197 1 layer2*3 1-1
layer5 197 1 768 1 1 0 197 197 1 layer5 1-1
layer6 197 1 197 1 1 0 768 197 1 layer6 1-1
layer7 197 1 768 1 1 0 768 197 1 layer2 1-1
layer8 197 1 768 1 1 0 3072 197 1 layer8 1-1
layer9 197 1 3072 1 1 0 768 197 1 layer9 1-1
layer2 197 1 768 1 1 0 768 197 1 layer2*3 1-1
layer3 197 1 768 1 1 0 768 197 1 layer2*3 1-1
layer4 197 1 768 1 1 0 768 197 1 layer2*3 1-1
layer5 197 1 768 1 1 0 197 197 1 layer5 1-1
layer6 197 1 197 1 1 0 768 197 1 layer6 1-1
layer7 197 1 768 1 1 0 768 197 1 layer2 1-1
layer8 197 1 768 1 1 0 3072 197 1 layer8 1-1
layer9 197 1 3072 1 1 0 768 197 1 layer9 1-1
layer2 197 1 768 1 1 0 768 197 1 layer2*3 1-1
layer3 197 1 768 1 1 0 768 197 1 layer2*3 1-1
layer4 197 1 768 1 1 0 768 197 1 layer2*3 1-1
layer5 197 1 768 1 1 0 197 197 1 layer5 1-1
