layer_id	latency	NoC_NR	L2_to_DRAM_NR	DRAM_to_L2_NR	
1	22582.799999999996	1.5766217201166184	1.185374149659864	2.057470845481049
2	7140.000000000001	2.867063492063492	1.619047619047619	3.541666666666667
3	7140.000000000001	2.867063492063492	1.619047619047619	3.541666666666667
4	7140.000000000001	2.867063492063492	1.619047619047619	3.541666666666667
5	7140.000000000001	2.867063492063492	1.619047619047619	3.541666666666667
6	8314.133333333331	4.652777777777777	0.0	8.248148148148147
7	10793.866666666665	3.7499999999999996	0.0	5.354100529100529
8	10793.866666666665	3.7499999999999996	0.0	5.354100529100529
9	10793.866666666665	3.7499999999999996	0.0	5.354100529100529
10	11124.799999999997	7.857142857142857	0.0	11.036507936507935
11	12548.266666666666	4.603174603174603	0.0	6.224338624338624
12	12548.266666666666	4.603174603174603	0.0	6.224338624338624
13	12548.266666666666	4.603174603174603	0.0	6.224338624338624
14	20418.13333333333	10.317460317460316	0.0	20.256084656084653
15	36039.99999999999	10.920138888888888	0.0	17.876984126984123
16	36039.99999999999	10.920138888888888	0.0	17.876984126984123
17	36039.99999999999	10.920138888888888	0.0	17.876984126984123
