layer_id	latency	NoC_NR	L2_to_DRAM_NR	DRAM_to_L2_NR	
1	22397.688888888886	1.5861880466472305	1.1895043731778425	2.04060576611597
2	7836.622222222222	2.299107142857143	1.619047619047619	3.8872134038800708
3	7836.622222222222	2.299107142857143	1.619047619047619	3.8872134038800708
4	7836.622222222222	2.299107142857143	1.619047619047619	3.8872134038800708
5	7836.622222222222	2.299107142857143	1.619047619047619	3.8872134038800708
6	9707.377777777778	4.652777777777777	0.0	9.630335097001764
7	14624.533333333333	3.343253968253968	0.0	7.254232804232804
8	14624.533333333333	3.343253968253968	0.0	7.254232804232804
9	14624.533333333333	3.343253968253968	0.0	7.254232804232804
10	17619.555555555555	5.753968253968253	0.0	8.739858906525573
11	22291.911111111112	3.1894841269841265	0.0	5.528747795414462
12	22291.911111111112	3.1894841269841265	0.0	5.528747795414462
13	22291.911111111112	3.1894841269841265	0.0	5.528747795414462
14	30666.488888888885	9.872685185185185	0.0	17.746810699588476
15	54007.11111111111	9.305555555555555	0.0	15.627057613168724
16	54007.11111111111	9.305555555555555	0.0	15.627057613168724
17	54007.11111111111	9.305555555555555	0.0	15.627057613168724
