layer_id	latency	NoC_NR	L2_to_DRAM_NR	DRAM_to_L2_NR	
1	287712.5333333333	1.1390436276551434	1.185374149659864	1.8723483270859362
2	73349.33333333331	2.0845734126984126	1.619047619047619	2.598828420256991
3	73349.33333333331	2.0845734126984126	1.619047619047619	2.598828420256991
4	73349.33333333331	2.0845734126984126	1.619047619047619	2.598828420256991
5	73349.33333333331	2.0845734126984126	1.619047619047619	2.598828420256991
6	69777.06666666667	1.398809523809524	1.619047619047619	4.944520030234316
7	89879.99999999999	3.184523809523809	0.8095238095238095	2.4796485260770975
8	89879.99999999999	3.184523809523809	0.8095238095238095	2.4796485260770975
9	89879.99999999999	3.184523809523809	0.8095238095238095	2.4796485260770975
10	125754.66666666666	7.390873015873016	0.8095238095238095	8.911186696900982
11	207989.33333333328	5.119047619047619	0.40476190476190477	6.448082010582009
12	207989.33333333328	5.119047619047619	0.40476190476190477	6.448082010582009
13	207989.33333333328	5.119047619047619	0.40476190476190477	6.448082010582009
14	326690.1333333333	5.654761904761904	0.40476190476190477	20.256084656084653
15	576639.9999999999	3.492063492063492	0.20238095238095238	17.876984126984123
16	576639.9999999999	3.492063492063492	0.20238095238095238	17.876984126984123
17	576639.9999999999	3.492063492063492	0.20238095238095238	17.876984126984123
