layer_id	latency	NoC_NR	L2_to_DRAM_NR	DRAM_to_L2_NR	
1	43269.15555555555	1.2905430029154517	1.185374149659864	1.9710803368966632
2	11490.488888888889	1.8601190476190474	1.619047619047619	2.8498236331569666
3	11490.488888888889	1.8601190476190474	1.619047619047619	2.8498236331569666
4	11490.488888888889	1.8601190476190474	1.619047619047619	2.8498236331569666
5	11490.488888888889	1.8601190476190474	1.619047619047619	2.8498236331569666
6	13152.711111111112	3.5069444444444438	1.619047619047619	6.5241622574955915
7	16365.333333333332	4.002976190476191	0.8095238095238095	4.0588624338624335
8	16365.333333333332	4.002976190476191	0.8095238095238095	4.0588624338624335
9	16365.333333333332	4.002976190476191	0.8095238095238095	4.0588624338624335
10	26498.844444444447	5.753968253968253	0.0	13.144268077601412
11	48289.066666666666	5.094246031746031	0.0	11.976455026455026
12	48289.066666666666	5.094246031746031	0.0	11.976455026455026
13	48289.066666666666	5.094246031746031	0.0	11.976455026455026
14	47376.35555555556	9.131944444444445	0.0	16.450123456790124
15	87426.84444444443	8.777777777777777	0.0	15.17827160493827
16	87426.84444444443	8.777777777777777	0.0	15.17827160493827
17	87426.84444444443	8.777777777777777	0.0	15.17827160493827
