layer_id	latency	NoC_NR	L2_to_DRAM_NR	DRAM_to_L2_NR	
1	44508.26666666667	1.3960529266651716	1.188487702773417	2.4954175076624057
2	17063.466666666667	1.8601190476190474	1.619047619047619	4.232010582010582
3	17063.466666666667	1.8601190476190474	1.619047619047619	4.232010582010582
4	17063.466666666667	1.8601190476190474	1.619047619047619	4.232010582010582
5	17063.466666666667	1.8601190476190474	1.619047619047619	4.232010582010582
6	24298.666666666664	3.4424603174603168	1.619047619047619	12.052910052910052
7	35514.13333333333	3.1894841269841265	0.8095238095238095	8.808068783068782
8	35514.13333333333	3.1894841269841265	0.8095238095238095	8.808068783068782
9	35514.13333333333	3.1894841269841265	0.8095238095238095	8.808068783068782
10	36139.73333333333	5.753968253968253	0.0	17.926455026455024
11	33437.86666666666	3.1894841269841265	0.0	8.293121693121693
12	33437.86666666666	3.1894841269841265	0.0	8.293121693121693
13	33437.86666666666	3.1894841269841265	0.0	8.293121693121693
14	48225.59999999999	10.357142857142856	0.0	23.921428571428567
15	77302.39999999998	4.682539682539682	0.0	19.172222222222217
16	77302.39999999998	4.682539682539682	0.0	19.172222222222217
17	77302.39999999998	4.682539682539682	0.0	19.172222222222217
