layer_id	latency	NoC_NR	L2_to_DRAM_NR	DRAM_to_L2_NR	
1	32606.755555555552	0.8706599522926054	1.185899814471243	2.1605324380834583
2	9749.688888888888	2.286706349206349	1.619047619047619	3.224103468547913
3	9749.688888888888	2.286706349206349	1.619047619047619	3.224103468547913
4	9749.688888888888	2.286706349206349	1.619047619047619	3.224103468547913
5	9749.688888888888	2.286706349206349	1.619047619047619	3.224103468547913
6	13025.777777777777	4.444444444444445	1.619047619047619	8.61493239271017
7	15494.933333333332	3.4325396825396823	0.8095238095238095	5.123985890652557
8	15494.933333333332	3.4325396825396823	0.8095238095238095	5.123985890652557
9	15494.933333333332	3.4325396825396823	0.8095238095238095	5.123985890652557
10	17619.555555555555	4.632936507936508	0.0	8.739858906525573
11	22291.911111111112	3.1894841269841265	0.0	5.528747795414462
12	22291.911111111112	3.1894841269841265	0.0	5.528747795414462
13	22291.911111111112	3.1894841269841265	0.0	5.528747795414462
14	30666.488888888885	10.046296296296298	0.0	17.746810699588476
15	54007.11111111111	9.212962962962964	0.0	15.627057613168724
16	54007.11111111111	9.212962962962964	0.0	15.627057613168724
17	54007.11111111111	9.212962962962964	0.0	15.627057613168724
