layer_id	latency	NoC_NR	L2_to_DRAM_NR	DRAM_to_L2_NR	
1	25427.466666666664	1.5766217201166184	1.185374149659864	2.3166423712342077
2	9229.866666666667	2.723214285714285	1.619047619047619	4.578306878306878
3	9229.866666666667	2.723214285714285	1.619047619047619	4.578306878306878
4	9229.866666666667	2.723214285714285	1.619047619047619	4.578306878306878
5	9229.866666666667	2.723214285714285	1.619047619047619	4.578306878306878
6	12085.866666666665	5.431547619047619	0.0	11.989947089947089
7	19330.133333333335	2.8968253968253967	0.0	9.588359788359789
8	19330.133333333335	2.8968253968253967	0.0	9.588359788359789
9	19330.133333333335	2.8968253968253967	0.0	9.588359788359789
10	22249.599999999995	5.753968253968253	0.0	11.036507936507935
11	25078.4	3.328373015873016	0.0	6.21984126984127
12	25078.4	3.328373015873016	0.0	6.21984126984127
13	25078.4	3.328373015873016	0.0	6.21984126984127
14	40827.2	10.396825396825395	0.0	20.2515873015873
15	55941.33333333333	9.398148148148149	0.0	16.186728395061728
16	55941.33333333333	9.398148148148149	0.0	16.186728395061728
17	55941.33333333333	9.398148148148149	0.0	16.186728395061728
